temp_ch_ipcc,model_author,gcm,period_scenario,experiment,mass_percent_rel_2020
1.0587674077643272,PyGEM-OGGM_v13,ukesm1-0-ll,1995-2014_hist,ukesm1-0-ll_1995-2014_hist,52.289948687467735
1.4691135287002737,GLIMB,mpi-esm1-2-hr,2021-2040_ssp126,mpi-esm1-2-hr_2021-2040_ssp126,56.32245245859927
1.4691135287002737,GloGEMflow,mpi-esm1-2-hr,2021-2040_ssp126,mpi-esm1-2-hr_2021-2040_ssp126,88.03675602920853
1.4691135287002737,OGGM_v16,mpi-esm1-2-hr,2021-2040_ssp126,mpi-esm1-2-hr_2021-2040_ssp126,56.48927720929917
1.4691135287002737,PyGEM-OGGM_v13,mpi-esm1-2-hr,2021-2040_ssp126,mpi-esm1-2-hr_2021-2040_ssp126,36.6368042647856
1.4885639337566965,GLIMB,gfdl-esm4,2021-2040_ssp370,gfdl-esm4_2021-2040_ssp370,58.12394705224334
1.4885639337566965,GloGEMflow,gfdl-esm4,2021-2040_ssp370,gfdl-esm4_2021-2040_ssp370,85.90400058912422
1.4885639337566965,OGGM_v16,gfdl-esm4,2021-2040_ssp370,gfdl-esm4_2021-2040_ssp370,56.61570792530941
1.4885639337566965,PyGEM-OGGM_v13,gfdl-esm4,2021-2040_ssp370,gfdl-esm4_2021-2040_ssp370,36.326392909533936
1.4937790687750323,GLIMB,mpi-esm1-2-hr,2021-2040_ssp370,mpi-esm1-2-hr_2021-2040_ssp370,54.952386491251374
1.4937790687750323,GloGEMflow,mpi-esm1-2-hr,2021-2040_ssp370,mpi-esm1-2-hr_2021-2040_ssp370,86.38873263383083
1.4937790687750323,OGGM_v16,mpi-esm1-2-hr,2021-2040_ssp370,mpi-esm1-2-hr_2021-2040_ssp370,55.864190942806594
1.4937790687750323,PyGEM-OGGM_v13,mpi-esm1-2-hr,2021-2040_ssp370,mpi-esm1-2-hr_2021-2040_ssp370,37.997844801982076
1.493791625332881,GLIMB,gfdl-esm4,2021-2040_ssp126,gfdl-esm4_2021-2040_ssp126,53.518852322430334
1.493791625332881,GloGEMflow,gfdl-esm4,2021-2040_ssp126,gfdl-esm4_2021-2040_ssp126,75.3716040401582
1.493791625332881,OGGM_v16,gfdl-esm4,2021-2040_ssp126,gfdl-esm4_2021-2040_ssp126,49.36883487453601
1.493791625332881,PyGEM-OGGM_v13,gfdl-esm4,2021-2040_ssp126,gfdl-esm4_2021-2040_ssp126,31.147848991038625
1.5283027574212975,GLIMB,mpi-esm1-2-hr,2021-2040_ssp585,mpi-esm1-2-hr_2021-2040_ssp585,54.22506504269893
1.5283027574212975,GloGEMflow,mpi-esm1-2-hr,2021-2040_ssp585,mpi-esm1-2-hr_2021-2040_ssp585,86.0180360154507
1.5283027574212975,OGGM_v16,mpi-esm1-2-hr,2021-2040_ssp585,mpi-esm1-2-hr_2021-2040_ssp585,54.54142127975362
1.5283027574212975,PyGEM-OGGM_v13,mpi-esm1-2-hr,2021-2040_ssp585,mpi-esm1-2-hr_2021-2040_ssp585,35.624347065752566
1.5298023875255358,GLIMB,gfdl-esm4,2021-2040_ssp585,gfdl-esm4_2021-2040_ssp585,53.673264987166604
1.5298023875255358,GloGEMflow,gfdl-esm4,2021-2040_ssp585,gfdl-esm4_2021-2040_ssp585,83.62480213237075
1.5298023875255358,OGGM_v16,gfdl-esm4,2021-2040_ssp585,gfdl-esm4_2021-2040_ssp585,51.25006932567134
1.5298023875255358,PyGEM-OGGM_v13,gfdl-esm4,2021-2040_ssp585,gfdl-esm4_2021-2040_ssp585,32.482309364949465
1.636714986028974,GLIMB,ipsl-cm6a-lr,2021-2040_ssp126,ipsl-cm6a-lr_2021-2040_ssp126,42.98971320114171
1.636714986028974,GloGEMflow,ipsl-cm6a-lr,2021-2040_ssp126,ipsl-cm6a-lr_2021-2040_ssp126,67.76982605751152
1.636714986028974,OGGM_v16,ipsl-cm6a-lr,2021-2040_ssp126,ipsl-cm6a-lr_2021-2040_ssp126,35.57450794526242
1.636714986028974,PyGEM-OGGM_v13,ipsl-cm6a-lr,2021-2040_ssp126,ipsl-cm6a-lr_2021-2040_ssp126,26.345310656346392
1.656830649489223,GLIMB,mpi-esm1-2-hr,2041-2060_ssp126,mpi-esm1-2-hr_2041-2060_ssp126,50.59919395276874
1.656830649489223,GloGEMflow,mpi-esm1-2-hr,2041-2060_ssp126,mpi-esm1-2-hr_2041-2060_ssp126,80.56764063789899
1.656830649489223,OGGM_v16,mpi-esm1-2-hr,2041-2060_ssp126,mpi-esm1-2-hr_2041-2060_ssp126,56.43312820250032
1.656830649489223,PyGEM-OGGM_v13,mpi-esm1-2-hr,2041-2060_ssp126,mpi-esm1-2-hr_2041-2060_ssp126,32.68670778660777
1.6599956464695365,GLIMB,mpi-esm1-2-hr,2081-2100_ssp126,mpi-esm1-2-hr_2081-2100_ssp126,49.32944295793401
1.6599956464695365,GloGEMflow,mpi-esm1-2-hr,2081-2100_ssp126,mpi-esm1-2-hr_2081-2100_ssp126,71.04921616879042
1.6599956464695365,OGGM_v16,mpi-esm1-2-hr,2081-2100_ssp126,mpi-esm1-2-hr_2081-2100_ssp126,53.43125807403139
1.6599956464695365,PyGEM-OGGM_v13,mpi-esm1-2-hr,2081-2100_ssp126,mpi-esm1-2-hr_2081-2100_ssp126,30.968842660945512
1.664909941388102,GLIMB,ipsl-cm6a-lr,2021-2040_ssp585,ipsl-cm6a-lr_2021-2040_ssp585,43.48945078950455
