gcm,period_scenario,temp_ch_ipcc,mass_remaining
mpi-esm1-2-hr,2021-2040_ssp585,1.5283027574212975,35.624347065752566
gfdl-esm4,2021-2040_ssp585,1.5298023875255358,53.67326498716661
gfdl-esm4,2021-2040_ssp585,1.5298023875255358,83.62480213237075
gfdl-esm4,2021-2040_ssp585,1.5298023875255358,51.25006932567134
gfdl-esm4,2021-2040_ssp585,1.5298023875255358,32.482309364949465
ipsl-cm6a-lr,2021-2040_ssp126,1.636714986028974,42.98971320114171
ipsl-cm6a-lr,2021-2040_ssp126,1.636714986028974,67.76982605751152
ipsl-cm6a-lr,2021-2040_ssp126,1.636714986028974,35.57450794526242
ipsl-cm6a-lr,2021-2040_ssp126,1.636714986028974,26.345310656346392
mpi-esm1-2-hr,2041-2060_ssp126,1.656830649489223,50.59919395276874
mpi-esm1-2-hr,2041-2060_ssp126,1.656830649489223,80.56764063789899
mpi-esm1-2-hr,2041-2060_ssp126,1.656830649489223,56.43312820250032
mpi-esm1-2-hr,2041-2060_ssp126,1.656830649489223,32.68670778660777
mpi-esm1-2-hr,2081-2100_ssp126,1.6599956464695365,49.32944295793401
mpi-esm1-2-hr,2081-2100_ssp126,1.6599956464695365,71.04921616879042
mpi-esm1-2-hr,2081-2100_ssp126,1.6599956464695365,53.43125807403139
mpi-esm1-2-hr,2081-2100_ssp126,1.6599956464695365,30.968842660945512
ipsl-cm6a-lr,2021-2040_ssp585,1.664909941388102,43.48945078950455
ipsl-cm6a-lr,2021-2040_ssp585,1.664909941388102,62.62857390550769
ipsl-cm6a-lr,2021-2040_ssp585,1.664909941388102,31.219232825729858
ipsl-cm6a-lr,2021-2040_ssp585,1.664909941388102,26.205959135325244
ipsl-cm6a-lr,2021-2040_ssp370,1.6781632715811343,44.54400716768903
ipsl-cm6a-lr,2021-2040_ssp370,1.6781632715811343,69.37021011841131
ipsl-cm6a-lr,2021-2040_ssp370,1.6781632715811343,38.35390478411277
ipsl-cm6a-lr,2021-2040_ssp370,1.6781632715811343,27.236533656593057
gfdl-esm4,2041-2060_ssp126,1.6787497715238051,52.3876569450392
