gcm,period_scenario,temp_ch_ipcc,area_rgi,mass_2020,area_steady,volume_steady,mass_steady,mass_remaining
mri-esm2-0,2021-2040_ssp126,1.72632431,705738.792,137492,414690.62439289136,91900.38591443675,82710.34732299307,60.15647988464279
mri-esm2-0,2021-2040_ssp370,1.705488886,705738.792,137492,452946.96514998795,100965.09312983879,90868.58381685491,66.09008801737912
mri-esm2-0,2021-2040_ssp585,1.911734937,705738.792,137492,400691.8107105829,87783.8185507822,79005.43669570397,57.461842649538866
mri-esm2-0,2041-2060_ssp126,1.996245332,705738.792,137492,370387.2941658261,83306.61153361807,74975.95038025625,54.531136633590506
mri-esm2-0,2041-2060_ssp370,2.404955866,705738.792,137492,338472.73669616494,72818.65118955607,65536.78607060047,47.665890430425385
mri-esm2-0,2041-2060_ssp585,2.687007085,705738.792,137492,263017.95138686144,59303.97083989642,53373.57375590678,38.819403133205405
mri-esm2-0,2061-2080_ssp126,2.09126599,705738.792,137492,386330.10360838467,84974.57286999626,76477.11558299663,55.62295666874919
mri-esm2-0,2061-2080_ssp370,3.105613809,705738.792,137492,236391.09843329008,50750.07400490895,45675.06660441806,33.22016306724614
mri-esm2-0,2061-2080_ssp585,3.541685939,705738.792,137492,194669.03244394122,40507.625325015746,36456.86279251417,26.515624758178053
mri-esm2-0,2081-2100_ssp126,1.94778826,705738.792,137492,409790.21377830347,87789.60625510153,79010.64562959137,57.46563118551724
mri-esm2-0,2081-2100_ssp370,3.811452497,705738.792,137492,164654.32045628742,35545.1811743999,31990.663056959904,23.267290501963682
mri-esm2-0,2081-2100_ssp585,4.594325176,705738.792,137492,99265.02224106851,20661.63667854133,18595.473010687198,13.524767266958948
ukesm1-0-ll,1851-1870_hist,0.373094842,705738.792,137492,752962.5688660813,166162.03350375954,149545.83015338355,108.76693200577748
ukesm1-0-ll,1901-1920_hist,0.353528895,705738.792,137492,773781.130428412,170117.24823826127,153105.52341443513,111.35595046579809
ukesm1-0-ll,1951-1970_hist,0.23742077,705738.792,137492,796201.9961749128,172866.9341586699,155580.2407428029,113.15584960783384
ukesm1-0-ll,1995-2014_hist,1.058767333,705738.792,137492,628083.5177661965,138636.90867993858,124773.21781194475,90.74943837601079
ukesm1-0-ll,2021-2040_ssp126,2.176143904,705738.792,137492,376483.93688420847,86570.86774932349,77913.78097439113,56.667865020794764
ukesm1-0-ll,2021-2040_ssp370,2.32331738,705738.792,137492,382940.7724770832,88285.1197531308,79456.6077778177,57.789986164880645
ukesm1-0-ll,2021-2040_ssp585,2.319732626,705738.792,137492,365219.8430248942,84276.88094740728,75849.19285266654,55.16625902064596
ukesm1-0-ll,2041-2060_ssp126,2.739835015,705738.792,137492,282158.9189278197,65504.4089234871,58953.968031138385,42.878107839829504
ukesm1-0-ll,2041-2060_ssp370,3.414120006,705738.792,137492,196299.271177625,44764.275342587425,40287.84780832869,29.30195779269244
ukesm1-0-ll,2041-2060_ssp585,3.646967578,705738.792,137492,200718.94217803364,46303.055061967345,41672.74955577061,30.309217667770206
ukesm1-0-ll,2061-2080_ssp126,2.951472593,705738.792,137492,254220.39486563578,60667.94162338905,54601.14746105015,39.712235956310295
ukesm1-0-ll,2061-2080_ssp370,4.439976801,705738.792,137492,120973.38052509518,26546.8057627484,23892.12518647356,17.377102076101565
ukesm1-0-ll,2061-2080_ssp585,5.230543689,705738.792,137492,88432.21095646528,19624.065750761343,17661.659175685207,12.84559041666803
ukesm1-0-ll,2081-2100_ssp126,3.038482623,705738.792,137492,221303.78533712588,53208.871066310385,47887.98395967935,34.829651150379185
ukesm1-0-ll,2081-2100_ssp370,5.840495128,705738.792,137492,46453.58368980081,9119.313343020684,8207.382008718616,5.9693524050261955
ukesm1-0-ll,2081-2100_ssp585,6.884361024,705738.792,137492,27183.613148847966,5256.649790268048,4730.984811241243,3.4409164251310935
