area_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
<1 km2,170576,43560.728,1070302417308.3179,52,mri-esm2-0,1995-2014_hist,0.922248887,46865.24861648293,1178566693114.5557,110.11529770048631
<1 km2,170576,43560.728,1070302417308.3179,53,mri-esm2-0,2021-2040_ssp126,1.72632431,22331.614272686078,470376608080.83374,43.948009504059094
<1 km2,170576,43560.728,1070302417308.3179,54,mri-esm2-0,2041-2060_ssp126,1.996245332,18787.77996450755,386521704554.4444,36.11331697507515
<1 km2,170576,43560.728,1070302417308.3179,55,mri-esm2-0,2061-2080_ssp126,2.09126599,23553.061219414492,505400835230.5063,47.22037688203384
<1 km2,170576,43560.728,1070302417308.3179,56,mri-esm2-0,2081-2100_ssp126,1.94778826,26571.006517961574,573441170054.2195,53.577489948715176
<1 km2,170576,43560.728,1070302417308.3179,57,mri-esm2-0,2021-2040_ssp370,1.705488886,25899.69832848038,555011802030.3876,51.855605766655714
<1 km2,170576,43560.728,1070302417308.3179,58,mri-esm2-0,2041-2060_ssp370,2.404955866,17567.098011315986,366751792185.0662,34.266183674274316
<1 km2,170576,43560.728,1070302417308.3179,59,mri-esm2-0,2061-2080_ssp370,3.105613809,11038.79591370584,227819180323.95685,21.285496196196092
<1 km2,170576,43560.728,1070302417308.3179,60,mri-esm2-0,2081-2100_ssp370,3.811452497,3558.8315384013617,69418834005.69356,6.4859083641307285
<1 km2,170576,43560.728,1070302417308.3179,61,mri-esm2-0,2021-2040_ssp585,1.911734937,23849.005959394395,507222946676.2966,47.390619555162864
<1 km2,170576,43560.728,1070302417308.3179,62,mri-esm2-0,2041-2060_ssp585,2.687007085,11300.694812710286,232985780904.99115,21.768219630010968
<1 km2,170576,43560.728,1070302417308.3179,63,mri-esm2-0,2061-2080_ssp585,3.541685939,5802.618628964319,119717738306.82506,11.185412306916096
<1 km2,170576,43560.728,1070302417308.3179,64,mri-esm2-0,2081-2100_ssp585,4.594325176,1843.4471688638139,37369917791.55908,3.4915288601832684
<1 km2,170576,43560.728,1070302417308.3179,65,ukesm1-0-ll,1851-1870_hist,0.373094842,57771.385090715354,1578319095178.4546,147.46477908063943
<1 km2,170576,43560.728,1070302417308.3179,66,ukesm1-0-ll,1901-1920_hist,0.353528895,59568.983297533596,1651327454990.365,154.28606235826837
<1 km2,170576,43560.728,1070302417308.3179,67,ukesm1-0-ll,1951-1970_hist,0.23742077,64748.89447058297,1846453404047.3303,172.5169797047585
<1 km2,170576,43560.728,1070302417308.3179,68,ukesm1-0-ll,1995-2014_hist,1.058767333,47225.089248337405,1190859038090.3896,111.26379038601605
<1 km2,170576,43560.728,1070302417308.3179,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,20071.574355298642,411478461616.8607,38.445065148192384
<1 km2,170576,43560.728,1070302417308.3179,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,12091.386152800169,245195296624.85318,22.90897345083924
<1 km2,170576,43560.728,1070302417308.3179,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,9223.74099392351,183847870355.74423,17.177189118015782
<1 km2,170576,43560.728,1070302417308.3179,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,7578.010230281317,152011932354.84814,14.202708495897815
<1 km2,170576,43560.728,1070302417308.3179,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,20638.035778932808,428244299858.1242,40.011523185671884
<1 km2,170576,43560.728,1070302417308.3179,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,4176.04873467857,82217956530.12503,7.681750054988508
<1 km2,170576,43560.728,1070302417308.3179,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,1570.8726549025928,33077988182.173145,3.090527279697295
<1 km2,170576,43560.728,1070302417308.3179,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,250.41493218182327,5290817881.416529,0.49432924712272447
<1 km2,170576,43560.728,1070302417308.3179,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,19639.786044039556,400277539179.5384,37.398545748050196
<1 km2,170576,43560.728,1070302417308.3179,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,4589.605390416814,94196623915.72977,8.800935361112513
<1 km2,170576,43560.728,1070302417308.3179,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,789.4461980378964,16089361812.354136,1.5032538049215052
<1 km2,170576,43560.728,1070302417308.3179,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,20.81551818559774,330192093.1133329,0.03085035479446327
