,gcm,period_scenario,temp_ch_ipcc,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
51,mri-esm2-0,1951-1970_hist,0.382652065,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.716348169,0.192405103,0.759085275,0.115496958,0.68413958,1.365031563,0.411557231,1.391141874,0.24671042,1.067135762
52,mri-esm2-0,1995-2014_hist,0.922248887,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.596405663,0.20807571,0.616894576,0.143702874,0.565483878,1.123325994,0.397680896,1.131314638,0.271783433,0.864735152
53,mri-esm2-0,2021-2040_ssp126,1.72632431,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.305258223,0.243890385,0.268451399,0.174705112,0.344239413,0.564953042,0.450792204,0.492901809,0.313178458,0.516470917
54,mri-esm2-0,2041-2060_ssp126,1.996245332,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.262283383,0.246228818,0.208702411,0.18190339,0.33497671,0.484955737,0.45838709,0.390541943,0.328273045,0.49940275
55,mri-esm2-0,2061-2080_ssp126,2.09126599,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.318874395,0.254980915,0.292797454,0.190514623,0.338598043,0.594051554,0.482884559,0.532331687,0.345873047,0.507278324
56,mri-esm2-0,2081-2100_ssp126,1.94778826,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.361406986,0.247890198,0.342400497,0.179285825,0.369443794,0.675155371,0.471537961,0.617237718,0.319209183,0.55711925
57,mri-esm2-0,2021-2040_ssp370,1.705488886,0.538348766,0.095343683,0.531841788,0.04024894,0.662171955,0.360360879,0.25098994,0.338259136,0.185937735,0.406107367,0.666024958,0.466033974,0.616695942,0.330154891,0.597588611
58,mri-esm2-0,2041-2060_ssp370,2.404955866,0.538348766,0.095343683,0.531841788,0.04024894,0.662171955,0.239102397,0.253328386,0.170111245,0.170111245,0.289775361,0.440972063,0.473596678,0.315640735,0.315640735,0.435389106
59,mri-esm2-0,2061-2080_ssp370,3.105613809,0.538348766,0.095343683,0.531841788,0.04024894,0.662171955,0.144221338,0.227494992,0.014538346,0.014538346,0.185939666,0.266856051,0.432224423,0.026922668,0.026922668,0.278078319
60,mri-esm2-0,2081-2100_ssp370,3.811452497,0.538348766,0.095343683,0.531841788,0.04024894,0.662171955,0.048868819,0.132612025,0,0,0.134975507,0.086776087,0.23841543,0,0,0.192673195
61,mri-esm2-0,2021-2040_ssp585,1.911734937,0.537592163,0.094343559,0.533708931,0.041117522,0.651389767,0.321218469,0.24537289,0.29050033,0.179268354,0.355757253,0.595678865,0.459676841,0.536731319,0.324481727,0.531620091
62,mri-esm2-0,2041-2060_ssp585,2.687007085,0.537592163,0.094343559,0.533708931,0.041117522,0.651389767,0.147478896,0.219185107,0.034649197,0.034649197,0.210666201,0.27161676,0.41145674,0.067906217,0.067906217,0.311628863
63,mri-esm2-0,2061-2080_ssp585,3.541685939,0.537592163,0.094343559,0.533708931,0.041117522,0.651389767,0.075476999,0.167703464,0,0,0.157020002,0.135043628,0.301014106,0,0,0.238595117
64,mri-esm2-0,2081-2100_ssp585,4.594325176,0.537592163,0.094343559,0.533708931,0.041117522,0.651389767,0.024963557,0.101738854,0,0,0.069726781,0.043697131,0.179559038,0,0,0.101874976
65,ukesm1-0-ll,1851-1870_hist,0.373094842,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.720063609,0.202952915,0.770309574,0.119642153,0.670130357,1.356457835,0.420625609,1.390085572,0.255746732,1.039130875
66,ukesm1-0-ll,1901-1920_hist,0.353528895,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.735956685,0.201447685,0.792706323,0.113870034,0.698784973,1.387507165,0.424882776,1.426420333,0.252962159,1.084635465
67,ukesm1-0-ll,1951-1970_hist,0.23742077,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.788487867,0.184922495,0.84570141,0.090502417,0.701588193,1.49396829,0.424949598,1.538311718,0.227900369,1.098952586
68,ukesm1-0-ll,1995-2014_hist,1.058767333,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.606400089,0.212081906,0.631022332,0.145756856,0.555680416,1.132257058,0.397704361,1.155295247,0.2744417,0.84002272
69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.278856898,0.242334893,0.238370844,0.175681918,0.315447261,0.51226703,0.447198146,0.43475916,0.312107862,0.463394649
70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.163435449,0.225001908,0.056623343,0.056623343,0.216508681,0.296973641,0.415713793,0.109592004,0.109592004,0.315364367
71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.127227472,0.203948918,0,0,0.184221148,0.228961996,0.370406755,0,0,0.27099254
72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,0.540210177,0.092855899,0.535237328,0.04079793,0.658388944,0.098527018,0.182217277,0,0,0.162566815,0.178404584,0.337094294,0,0,0.234295096
73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,0.538736791,0.092767537,0.534421449,0.041174867,0.642813897,0.283895575,0.251308648,0.240284347,0.18127687,0.314115034,0.522792398,0.466488624,0.44018218,0.322059732,0.475958797
74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,0.538736791,0.092767537,0.534421449,0.041174867,0.642813897,0.055384161,0.139017018,0,0,0.136043841,0.098532405,0.250056117,0,0,0.199992556
75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,0.538736791,0.092767537,0.534421449,0.041174867,0.642813897,0.021763146,0.094841511,0,0,0.069680445,0.03772267,0.170261195,0,0,0.105143092
76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,0.538736791,0.092767537,0.534421449,0.041174867,0.642813897,0.004550352,0.041975663,0,0,0.025008029,0.007538029,0.072443275,0,0,0.036784877
77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,0.538913331,0.092274285,0.534513859,0.040357385,0.648950985,0.26970024,0.243134355,0.222901593,0.174671022,0.289882123,0.496000677,0.447783549,0.415364775,0.315889903,0.432436376
78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,0.538913331,0.092274285,0.534513859,0.040357385,0.648950985,0.060845849,0.151849138,0,0,0.129492182,0.107644148,0.270454631,0,0,0.192519582
79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,0.538913331,0.092274285,0.534513859,0.040357385,0.648950985,0.011907077,0.071148633,0,0,0.04518332,0.021001723,0.13135772,0,0,0.068187475
80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,0.538913331,0.092274285,0.534513859,0.040357385,0.648950985,0.000926561,0.015250979,0,0,0.010227278,0.001444043,0.02240305,0,0,0.015089439
