tidewater_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
land-terminating,212303,424267.549,13,gfdl-esm4,2021-2040_ssp585,1.529802668,0.3882005324536321,0.2401918633250574,0.3695257846891192,0.17207955903920646,0.35818443275242556,0.5361512370682637,0.0926269997574262,0.5332925238734256,0.04072294087004191,0.597504579167847,0.7214833520950732,0.44253438550380386,0.6869877842655339,0.3061902893837797,0.5803105686237029
land-terminating,212303,424267.549,14,gfdl-esm4,2041-2060_ssp585,2.18911609,0.22218666637682133,0.23374221332227746,0.1553852541657987,0.1553852541657987,0.26592222157273776,0.5361512370682637,0.0926269997574262,0.5332925238734256,0.04072294087004191,0.597504579167847,0.4092847721438721,0.4315632286029866,0.2932642617808397,0.2932642617808397,0.4226414484206271
land-terminating,212303,424267.549,15,gfdl-esm4,2061-2080_ssp585,3.048039704,0.11182795153700703,0.1932854445631887,0.0,0.0,0.1855740681410616,0.5361512370682637,0.0926269997574262,0.5332925238734256,0.04072294087004191,0.597504579167847,0.2033364541691739,0.3521876346778017,0.0,0.0,0.28828881220596814
land-terminating,212303,424267.549,16,gfdl-esm4,2081-2100_ssp585,4.001455777,0.029468713070158133,0.10102700727332668,0.0,0.0,0.1138433781653096,0.5361512370682637,0.0926269997574262,0.5332925238734256,0.04072294087004191,0.597504579167847,0.05139505195004614,0.17512992574812222,0.0,0.0,0.1725661634409039
land-terminating,212303,424267.549,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,0.7707610503203399,0.19551135214216572,0.826424868959088,0.10482540303878163,0.6479011480161357,0.5348247216926298,0.09241527079352732,0.5312308985578479,0.04174258644362683,0.5966909921273329,1.4742694182638907,0.44543335197403866,1.518517820931061,0.24456320221314054,1.1208003266230797
land-terminating,212303,424267.549,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,0.8018441972246724,0.1850034544206584,0.8601866793530906,0.09308349732613641,0.6842515621666649,0.5348247216926298,0.09241527079352732,0.5312308985578479,0.04174258644362683,0.5966909921273329,1.5384029447620624,0.45649295708098153,1.57611242370389,0.23626634552199532,1.190647811937098
land-terminating,212303,424267.549,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,0.7181397286902685,0.21694511661879518,0.7718120262641466,0.1371143408404254,0.5831510719302618,0.5348247216926298,0.09241527079352732,0.5312308985578479,0.04174258644362683,0.5966909921273329,1.368343146738176,0.4549143934426239,1.417351797866647,0.28067636278220376,0.9956470040345572
land-terminating,212303,424267.549,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,0.561970858876164,0.2152205798804477,0.5741617995028536,0.15296212495790218,0.4700172222039642,0.5348247216926298,0.09241527079352732,0.5312308985578479,0.04174258644362683,0.5966909921273329,1.056138487966916,0.398917340099759,1.067990690943968,0.2774585198538595,0.7829110726899176
land-terminating,212303,424267.549,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,0.41983258826593595,0.24779012155767072,0.406820654858304,0.17923416804347728,0.3711488968849648,0.5348247216926298,0.09241527079352732,0.5312308985578479,0.04174258644362683,0.5966909921273329,0.7852851746857142,0.4638504079176452,0.7546065724259163,0.32157023252424527,0.6089879039550258
land-terminating,212303,424267.549,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,0.3109235678951619,0.2714238445289427,0.2534868326275995,0.19973634313112126,0.30003776606512406,0.5348247216926298,0.09241527079352732,0.5312308985578479,0.04174258644362683,0.5966909921273329,0.577028073980016,0.5045333847094909,0.4836345212692594,0.3606122504034292,0.48635073595576694
