,gcm,period_scenario,temp_ch_ipcc,area_rgi,mass_2020,area_steady,volume_steady,mass_steady,mass_remaining
34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,89717.066,13410,81955.21794626968,13531.99734439035,12178.797609951314,90.81877412342516
35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,89717.066,13410,76195.32558135866,12868.10482913145,11581.294346218305,86.36311965860033
36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,89717.066,13410,63381.08209655023,10573.287692910832,9515.95892361975,70.96166236852908
37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,89717.066,13410,51131.52188118952,8380.001863623804,7542.001677261423,56.241623245797335
38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,89717.066,13410,49086.52755639117,7904.010829401259,7113.609746461133,53.047052546317175
39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,89717.066,13410,49498.22719350835,7847.415189066065,7062.673670159458,52.66721603400043
40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,89717.066,13410,46573.54824427165,7300.544796665662,6570.490316999095,48.99694494406484
41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,89717.066,13410,48068.02897591279,7794.830389809789,7015.347350828811,52.314297918186504
42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,89717.066,13410,37863.372329985265,6334.636079596198,5701.172471636578,42.514336104672466
43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,89717.066,13410,31698.685578572946,5022.350158188093,4520.115142369283,33.70704804153082
44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,89717.066,13410,26558.926629659447,4427.747292045438,3984.9725628408946,29.716424778828447
45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,89717.066,13410,53669.91781591225,8512.883532578671,7661.595179320804,57.133446527373636
46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,89717.066,13410,44588.36312367478,6980.564671400519,6282.508204260467,46.849427324835695
47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,89717.066,13410,30466.418902876103,5119.660173349246,4607.694156014321,34.36013539160568
48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,89717.066,13410,19932.331748781467,3210.509148866815,2889.4582339801336,21.547041267562516
49,mri-esm2-0,1851-1870_hist,0.190948213,89717.066,13410,87187.7154552782,14809.052643659026,13328.147379293125,99.38961505811427
50,mri-esm2-0,1901-1920_hist,0.252478266,89717.066,13410,78846.80789898046,13168.175753608804,11851.358178247923,88.37701848059599
51,mri-esm2-0,1951-1970_hist,0.382652065,89717.066,13410,78574.0949363311,13278.056881770864,11950.251193593778,89.11447571658299
52,mri-esm2-0,1995-2014_hist,0.922248887,89717.066,13410,68250.73732513166,11274.69611951107,10147.226507559964,75.66910147322868
53,mri-esm2-0,2021-2040_ssp126,1.72632431,89717.066,13410,41243.68452364381,6833.959347699152,6150.563412929237,45.865498977846656
54,mri-esm2-0,2041-2060_ssp126,1.996245332,89717.066,13410,40476.74552253139,6879.12257460997,6191.210317148973,46.168607883288395
55,mri-esm2-0,2061-2080_ssp126,2.09126599,89717.066,13410,46333.006598775595,7970.7268085395535,7173.654127685598,53.494810795567474
56,mri-esm2-0,2081-2100_ssp126,1.94778826,89717.066,13410,51209.37148965252,8500.567011914949,7650.510310723454,57.05078531486543
57,mri-esm2-0,2021-2040_ssp370,1.705488886,89717.066,13410,51299.6549094151,8532.929518496268,7679.636566646641,57.267983345612535
58,mri-esm2-0,2041-2060_ssp370,2.404955866,89717.066,13410,44889.96650136262,6995.096694644546,6295.587025180091,46.94695768217815
59,mri-esm2-0,2061-2080_ssp370,3.105613809,89717.066,13410,32633.394966141044,5390.157703046652,4851.141932741988,36.17555505400439
60,mri-esm2-0,2081-2100_ssp370,3.811452497,89717.066,13410,16802.803177296417,2465.5615408247904,2219.0053867423117,16.547392891441547
61,mri-esm2-0,2021-2040_ssp585,1.911734937,89717.066,13410,44720.000367820365,7457.3372087264615,6711.603487853816,50.049243011586995
62,mri-esm2-0,2041-2060_ssp585,2.687007085,89717.066,13410,24251.417993181916,3839.503483420895,3455.5531350788056,25.76847975450265
63,mri-esm2-0,2061-2080_ssp585,3.541685939,89717.066,13410,27698.736831466995,4262.687038586558,3836.418334727902,28.608637842862805
64,mri-esm2-0,2081-2100_ssp585,4.594325176,89717.066,13410,5551.537093289816,600.6339066099324,540.5705159489391,4.031100044361962
65,ukesm1-0-ll,1851-1870_hist,0.373094842,89717.066,13410,106762.43985894351,18532.527452037226,16679.274706833505,124.37937887273307
66,ukesm1-0-ll,1901-1920_hist,0.353528895,89717.066,13410,102408.58484849847,17649.12340948273,15884.211068534458,118.45049268109216
67,ukesm1-0-ll,1951-1970_hist,0.23742077,89717.066,13410,108134.09851131984,18967.079244909415,17070.371320418475,127.29583385845247
68,ukesm1-0-ll,1995-2014_hist,1.058767333,89717.066,13410,67802.97135368295,10899.625373128194,9809.662835815374,73.15184814179996
69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,89717.066,13410,36962.23300055125,6034.653158618879,5431.187842756991,40.50102791019381
70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,89717.066,13410,21424.486359117855,3398.2270128338287,3058.404311550446,22.806892703582744
71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,89717.066,13410,16588.213896134093,2447.4988312143846,2202.748948092946,16.426166652445534
72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,89717.066,13410,9900.0966456082,1387.762627804063,1248.9863650236568,9.313843139624584
73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,89717.066,13410,39439.502287816715,6499.510643752856,5849.55957937757,43.62087680371044
74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,89717.066,13410,11097.653148147801,1586.7834887065972,1428.1051398359375,10.649553615480519
75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,89717.066,13410,9914.627614502118,1345.0024078058382,1210.5021670252543,9.026861797354618
76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,89717.066,13410,2329.8893529698607,293.6248931681189,264.262403851307,1.9706368669001266
77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,89717.066,13410,32099.545348862976,5562.55635981955,5006.300723837595,37.332593018923156
78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,89717.066,13410,13304.95308416358,1873.9871727314244,1686.588455458282,12.577095119002848
79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,89717.066,13410,5859.538728297389,923.6424766963744,831.2782290267369,6.198942796619962
80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,89717.066,13410,612.2987567238115,68.88566170608904,61.997095535480135,0.46231987722207407
