tidewater_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
marine-terminating,3244,281471.243,11,gfdl-esm4,2061-2080_ssp370,2.814161775,0.2537036899668858,0.14371185120398308,0.2689372402925055,0.0260106985188866,0.3125025218645506,0.7048556543494475,0.09460449574425715,0.6948657023838789,0.019185705277618093,0.72939389293972,0.3671993993344469,0.18749766949512217,0.4188804059658664,0.0414951746144098,0.43827344794068746
marine-terminating,3244,281471.243,12,gfdl-esm4,2081-2100_ssp370,3.532319558,0.16011193761219208,0.12548408893450275,0.161653591896441,0.03256565672512529,0.2213119358158366,0.7048556543494475,0.09460449574425715,0.6948657023838789,0.019185705277618093,0.72939389293972,0.226640152562423,0.16978672469368775,0.23264005021668976,0.04666318967270991,0.2995338489972979
marine-terminating,3244,281471.243,13,gfdl-esm4,2021-2040_ssp585,1.529802668,0.3772874445866432,0.1707256549116363,0.3472143313268825,0.01876148605932576,0.43650958831716036,0.7262287474860305,0.09652699624502373,0.7460228223925776,0.012657832117303536,0.7516548795564021,0.5183017153858347,0.218778025759824,0.4822225036462843,0.031074527167116173,0.5824943695423379
marine-terminating,3244,281471.243,14,gfdl-esm4,2041-2060_ssp585,2.18911609,0.3014005177889846,0.14602509474448275,0.295084829621738,0.032290039148668404,0.36046797281772003,0.7262287474860305,0.09652699624502373,0.7460228223925776,0.012657832117303536,0.7516548795564021,0.4191762505660328,0.17949310188828083,0.421762183564731,0.04783720581241466,0.4872207517601722
marine-terminating,3244,281471.243,15,gfdl-esm4,2061-2080_ssp585,3.048039704,0.2053161261242578,0.12621648396639482,0.2343076483049421,0.04065544679689799,0.26886059370042004,0.7262287474860305,0.09652699624502373,0.7460228223925776,0.012657832117303536,0.7516548795564021,0.283328959620042,0.16923047337021122,0.3224951683291012,0.04717936614285426,0.3598591563927433
marine-terminating,3244,281471.243,16,gfdl-esm4,2081-2100_ssp585,4.001455777,0.08149082091003358,0.1129581692434616,0.0590114200357604,0.024351499611732004,0.14288574792507605,0.7262287474860305,0.09652699624502373,0.7460228223925776,0.012657832117303536,0.7516548795564021,0.12687335892849005,0.15148354855384036,0.11228234462888112,0.023431994262806816,0.20344703477606957
marine-terminating,3244,281471.243,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,0.8123727884695902,0.17927214989488463,0.9242223188993114,0.04307899528637099,0.8255879454079541,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,1.1474759613309087,0.23218187601570606,1.2927228094361851,0.06740187394670172,1.1280443990815125
marine-terminating,3244,281471.243,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,0.815452187849233,0.13970104981311474,0.8852328505567965,0.04492824278611596,0.8275756562117335,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,1.154332132608572,0.17893764470371823,1.2387318391553332,0.021619026317112433,1.130557579012496
marine-terminating,3244,281471.243,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,0.6733764440227076,0.172234588058827,0.7043504926070492,0.02506135364850859,0.7009485156312683,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,0.9444663596529885,0.20105298262699647,0.977397959803319,0.025821247139042935,0.9479140598591147
marine-terminating,3244,281471.243,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,0.5758802448409623,0.16982336171780069,0.6144002408139752,0.04760016391530908,0.6179964610587111,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,0.7958207796099297,0.1878553237186186,0.8458139305968665,0.057834712565993984,0.8292445925105875
