area_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
>100 km2,962,387240.951,122859635891299.53,54,mri-esm2-0,2041-2060_ssp126,1.996245332,216192.41289177912,65801802828481.48,53.55852013650752
>100 km2,962,387240.951,122859635891299.53,55,mri-esm2-0,2061-2080_ssp126,2.09126599,208475.16283532514,63162332579920.79,51.410157715104965
>100 km2,962,387240.951,122859635891299.53,56,mri-esm2-0,2081-2100_ssp126,1.94778826,229622.98812913196,69148113788758.234,56.28220634638479
>100 km2,962,387240.951,122859635891299.53,57,mri-esm2-0,2021-2040_ssp370,1.705488886,247752.62722871546,74931457587542.73,60.9894836851369
>100 km2,962,387240.951,122859635891299.53,58,mri-esm2-0,2041-2060_ssp370,2.404955866,177717.0154998601,51135066038040.2,41.62072080636974
>100 km2,962,387240.951,122859635891299.53,59,mri-esm2-0,2061-2080_ssp370,3.105613809,114496.55888485159,32233709892361.19,26.236208221290898
>100 km2,962,387240.951,122859635891299.53,60,mri-esm2-0,2081-2100_ssp370,3.811452497,85421.43512650505,23016839677369.812,18.7342567885632
>100 km2,962,387240.951,122859635891299.53,61,mri-esm2-0,2021-2040_ssp585,1.911734937,221478.9298892444,66628600699718.2,54.231481492154245
>100 km2,962,387240.951,122859635891299.53,62,mri-esm2-0,2041-2060_ssp585,2.687007085,134490.27030364866,37761966385917.0,30.735860571267704
>100 km2,962,387240.951,122859635891299.53,63,mri-esm2-0,2061-2080_ssp585,3.541685939,98829.37564895213,27002695513895.48,21.978492218376918
>100 km2,962,387240.951,122859635891299.53,64,mri-esm2-0,2081-2100_ssp585,4.594325176,46046.32284118313,12235808205536.002,9.959176678955547
>100 km2,962,387240.951,122859635891299.53,65,ukesm1-0-ll,1851-1870_hist,0.373094842,381710.6581903109,126317755048945.92,102.81469103547236
>100 km2,962,387240.951,122859635891299.53,66,ukesm1-0-ll,1901-1920_hist,0.353528895,400944.4790057845,133671274730423.67,108.79999257745625
>100 km2,962,387240.951,122859635891299.53,67,ukesm1-0-ll,1951-1970_hist,0.23742077,389884.1142825929,128920976722775.88,104.9335494017247
>100 km2,962,387240.951,122859635891299.53,68,ukesm1-0-ll,1995-2014_hist,1.058767333,320400.23447158246,101730331134062.45,82.80207766859141
>100 km2,962,387240.951,122859635891299.53,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,195047.84696191768,57561449044668.59,46.85139153073535
>100 km2,962,387240.951,122859635891299.53,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,134752.0377847689,37499933937652.695,30.522582673800926
>100 km2,962,387240.951,122859635891299.53,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,119381.76895937645,32967526597570.836,26.83348876822243
>100 km2,962,387240.951,122859635891299.53,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,107090.53410137881,29368667687939.855,23.904244445200767
>100 km2,962,387240.951,122859635891299.53,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,200970.41592007142,59753430093925.4,48.63552594832077
>100 km2,962,387240.951,122859635891299.53,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,89144.98185340925,22893673574986.523,18.63400734415474
>100 km2,962,387240.951,122859635891299.53,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,45163.09001216487,11046940780926.566,8.991513527437428
>100 km2,962,387240.951,122859635891299.53,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,17323.131496586353,3836104378725.698,3.1223471817218345
>100 km2,962,387240.951,122859635891299.53,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,180204.29309549843,52392087144879.164,42.6438567596222
>100 km2,962,387240.951,122859635891299.53,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,79490.97166521012,20376590061994.71,16.58526001169576
>100 km2,962,387240.951,122859635891299.53,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,32259.319280481097,7661563976188.176,6.236030182416274
>100 km2,962,387240.951,122859635891299.53,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,7381.083373157114,1318761250096.0034,1.0733885384967132
