tidewater_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
marine-terminating,3244,281471.243,87727909003005.61,59,mri-esm2-0,2061-2080_ssp370,3.105613809,69326.21407601524,18465059356795.57,21.048101529654545
marine-terminating,3244,281471.243,87727909003005.61,60,mri-esm2-0,2081-2100_ssp370,3.811452497,52914.19336982992,13572322697525.9,15.470929208013956
marine-terminating,3244,281471.243,87727909003005.61,61,mri-esm2-0,2021-2040_ssp585,1.911734937,158425.68345125596,45817958063062.945,52.2273454180849
marine-terminating,3244,281471.243,87727909003005.61,62,mri-esm2-0,2041-2060_ssp585,2.687007085,92450.63007369822,24455432882250.426,27.8764570593066
marine-terminating,3244,281471.243,87727909003005.61,63,mri-esm2-0,2061-2080_ssp585,3.541685939,58499.96665729799,15040951354075.656,17.145001545130118
marine-terminating,3244,281471.243,87727909003005.61,64,mri-esm2-0,2081-2100_ssp585,4.594325176,22137.39960058704,5522602761446.701,6.29514919962072
marine-terminating,3244,281471.243,87727909003005.61,65,ukesm1-0-ll,1851-1870_hist,0.373094842,274917.7621289617,86203320711378.1,98.26213994046606
marine-terminating,3244,281471.243,87727909003005.61,66,ukesm1-0-ll,1901-1920_hist,0.353528895,293028.0596277353,92586608819476.98,105.5383741293833
marine-terminating,3244,281471.243,87727909003005.61,67,ukesm1-0-ll,1951-1970_hist,0.23742077,276355.71425682754,86088842406681.77,98.13164748259567
marine-terminating,3244,281471.243,87727909003005.61,68,ukesm1-0-ll,1995-2014_hist,1.058767333,234940.00343194773,70906757261530.55,80.82576920772298
marine-terminating,3244,281471.243,87727909003005.61,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,145373.39969498516,40680168319865.055,46.37084000083865
marine-terminating,3244,281471.243,87727909003005.61,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,95395.31851096684,25459428657343.33,29.020899901388365
marine-terminating,3244,281471.243,87727909003005.61,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,83709.57961979028,21831765563831.984,24.88576989004037
marine-terminating,3244,281471.243,87727909003005.61,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,76211.74799478754,19642809789722.496,22.390605239490576
marine-terminating,3244,281471.243,87727909003005.61,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,148445.82975244164,42392360633048.81,48.32254765310367
marine-terminating,3244,281471.243,87727909003005.61,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,57506.33530340407,13813744807837.691,15.746123399982581
marine-terminating,3244,281471.243,87727909003005.61,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,26431.973405055156,5901266789066.595,6.726783820715952
marine-terminating,3244,281471.243,87727909003005.61,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,7463.31942921619,1675332570458.5388,1.9096916699577793
marine-terminating,3244,281471.243,87727909003005.61,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,130786.22778823249,36078736470266.23,41.12572256684033
marine-terminating,3244,281471.243,87727909003005.61,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,50766.10584337625,11939759615248.473,13.609989968915603
marine-terminating,3244,281471.243,87727909003005.61,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,17649.46051711588,3832504198805.2393,4.3686259508065275
marine-terminating,3244,281471.243,87727909003005.61,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,2627.7854317978686,485191994701.2502,0.5530645836829727
