RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-09.00062,0.11875,0.032392969,612.771071,0.115742314,,0,0,0,0,1,1,-0.081952317,-0.197694631,-0.354606146,-0.855420978,231.108,0,-0.085560637,-0.370219279,-0.370219279,0,0,0
RGI60-09.00064,0.11875,0.032392969,354.9143952,0.029928307,,0,0,0,0,1,1,-0.031052841,-0.060981148,-0.132850358,-0.260889731,233.743,0,-0.032500096,-0.139042007,-0.139042007,0,0,0
RGI60-09.00494,0.11875,0.032392969,255.00019,0.006089229,,0,0,0,0,1,1,0.013161991,0.007072763,0.233837146,0.125655349,56.287,0,0.01200692,0.213316038,0.213316038,0,0,0
RGI60-09.00501,0.11875,0.032392969,764.6653708,0.139772146,,0,0,0,0,1,1,-0.002236132,-0.142008279,-0.007240916,-0.459843075,308.819,0,-0.004417493,-0.014304473,-0.014304473,0,0,0
RGI60-09.00504,0.11875,0.032392969,93.166021,0.000267025,,0,0,0,0,1,1,-0.000177474,-0.0004445,-0.022016401,-0.055141997,8.061,0,-0.000230668,-0.028615344,-0.028615344,0,0,0
RGI60-09.00587,0.11875,0.032392969,126.8302273,0.002062568,,0,0,0,0,1,1,-0.000442539,-0.002505107,-0.040179671,-0.227447531,11.014,0,-0.001061309,-0.096360029,-0.096360029,0,0,0
RGI60-09.00604,0.11875,0.032392969,223.6254222,0.001896962,,0,0,0,0,1,1,-0.00039974,-0.002296702,-0.147723597,-0.848744188,2.706,0,-0.000676739,-0.2500884,-0.2500884,0,0,0
RGI60-09.00617,0.11875,0.032392969,78.07316136,9.23E-05,,0,0,0,0,1,1,-4.88E-05,-0.000141086,-0.030191008,-0.087305396,1.616,0,-7.65E-05,-0.047325325,-0.047325325,0,0,0
RGI60-09.00633,0.11875,0.032392969,122.8723908,0.000897316,,0,0,0,0,1,1,-0.000371199,-0.001268515,-0.088718669,-0.3031823,4.184,0,-0.000640394,-0.153057758,-0.153057758,0,0,0
RGI60-09.00635,0.0304375,0.032392969,310.7318952,0.011862053,,0,0,3.19E-05,0,1,0,0.002350589,-0.009511464,0.288628371,-1.167910558,8.144,0,0.000289836,0.035588851,0.035588851,0,0,0
RGI60-09.00689,0.11875,0.032392969,115.8204484,0.002976459,,0,0,0,0,1,1,0.003077254,0.000100795,0.12503571,0.00409553,24.611,0,0.002184316,0.088753656,0.088753656,0,0,0
RGI60-09.00706,0.11875,0.032392969,222.7285728,0.003615809,,0,0,0,0,1,1,-0.00381532,-0.007431129,-0.721505234,-1.405281605,5.288,0,-0.00473336,-0.895113523,-0.895113523,0,0,0
RGI60-09.00728,0.11875,0.032392969,37.81574095,0,,0,0,0,0,1,1,0.000337941,0.000337941,0.127188903,0.127188903,2.657,0,0.000337941,0.127188903,0.127188903,0,0,0
RGI60-09.00729,0.11875,0.032392969,104.8469503,0.000585381,,0,0,0,0,1,1,3.94E-05,-0.000546,0.005348432,-0.074154593,7.363,0,-0.000136234,-0.018502475,-0.018502475,0,0,0
RGI60-09.00732,0.11875,0.032392969,91.01821489,0.000221274,,0,0,0,0,1,1,-0.000315834,-0.000537108,-0.173726248,-0.29543895,1.818,0,-0.000382216,-0.210240059,-0.210240059,0,0,0
RGI60-09.00745,0.11875,0.032392969,196.612219,0.010835353,,0,0,0,0,1,1,0.000963943,-0.00987141,0.020023317,-0.205052039,48.141,0,9.01E-05,0.00187195,0.00187195,0,0,0
RGI60-09.00754,0.11875,0.032392969,42.33342843,4.73E-06,,0,0,0,0,1,1,-0.001325162,-0.001329897,-0.090739671,-0.091063881,14.604,0,-0.001326583,-0.090836934,-0.090836934,0,0,0
RGI60-09.00757,0.11875,0.032392969,136.8327121,0.000264805,,0,0,0,0,1,1,0.000541366,0.000276561,0.260522472,0.133089753,2.078,0,0.000461924,0.222292657,0.222292657,0,0,0
RGI60-09.00785,0.11875,0.032392969,56.89152164,2.05E-05,,0,0,0,0,1,1,-7.34E-06,-2.78E-05,-0.007667716,-0.02909798,0.957,0,-1.35E-05,-0.014096795,-0.014096795,0,0,0
RGI60-09.00794,0.11875,0.032392969,57.14147739,2.43E-05,,0,0,0,0,1,1,-0.000101599,-0.00012588,-0.063065821,-0.078137624,1.611,0,-0.000108883,-0.067587362,-0.067587362,0,0,0
RGI60-09.00811,0.11875,0.032392969,233.1434921,0.006732651,,0,0,0,0,1,1,0.000495556,-0.006237096,0.092488901,-1.164071609,5.358,0,-0.00044763,-0.08354431,-0.08354431,0,0,0
RGI60-09.00816,0.0481,0.032392969,547.145454,0.187624065,,0,0,0.000309294,0.075518087,1,0,0.003700179,-0.183923885,0.218738442,-10.87277639,16.916,0,-0.00299174,-0.176858601,-0.176858601,0,0,0
RGI60-09.00821,0.059875,0.032392969,179.0486096,0.004827114,,0,0,1.14E-06,0.011336367,1,0,0.000681823,-0.004145291,0.273824488,-1.664775517,2.49,0,-0.000766311,-0.307755514,-0.307755514,0,0,0
RGI60-09.00832,0.11875,0.032392969,276.3753065,0.01819197,,0,0,0,0,1,1,0.000500797,-0.017691172,0.032627359,-1.152594467,15.349,0,-0.000936505,-0.061014095,-0.061014095,0,0,0
RGI60-09.00833,0.11875,0.032392969,374.2966822,0.001875737,,0,0,0,0,1,0,0.000197897,-0.001677839,0.094326676,-0.799732823,2.098,0,5.60E-06,0.002669252,0.002669252,0,0,0
RGI60-09.00855,0.11875,0.032392969,92.84869157,0.003325521,,0,0,0,0,1,0,0.00059944,-0.002726081,0.261421917,-1.188870697,2.293,0,-0.000398216,-0.173665867,-0.173665867,0,0,0
RGI60-09.00856,0.11875,0.032392969,243.2180885,0.061638714,,0,0,0,0,1,1,-0.024231695,-0.085870409,-0.297898931,-1.055671226,81.342,0,-0.02858283,-0.351390792,-0.351390792,0,0,0
RGI60-09.00892,0.0893125,0.032392969,303.7119325,0.00397262,,0,0,8.00E-07,0.01616616,1,0,0.000838448,-0.003134172,0.289819617,-1.083363818,2.893,0,-0.000353338,-0.122135414,-0.122135414,0,0,0
RGI60-09.00902,0.11875,0.032392969,158.6575775,0.028895316,,0,0,0,0,1,1,-0.002761999,-0.031657315,-0.073543482,-0.842936278,37.556,0,-0.008002798,-0.21308973,-0.21308973,0,0,0
RGI60-09.00935,0.11875,0.032392969,799.4339063,0.092681021,,0,0,0,0,1,1,-0.157195555,-0.249876576,-0.478738054,-0.760997509,328.354,0,-0.160112922,-0.487622876,-0.487622876,0,0,0
RGI60-09.01000,0.11875,0.032392969,123.7057207,0.003392099,,0,0,0,0,1,1,0.001250787,-0.002141312,0.25126304,-0.430155049,4.978,0,0.000233158,0.046837613,0.046837613,0,0,0
RGI60-09.01015,0.11875,0.032392969,257.6666158,0.024088728,,0,0,0,0,1,1,-0.029246243,-0.053334971,-0.513560494,-0.936555655,56.948,0,-0.03173142,-0.55719991,-0.55719991,0,0,0
RGI60-09.01021,0.11875,0.032392969,137.3705915,0.000198186,,0,0,0,0,1,1,-0.001793439,-0.001991624,-0.266960204,-0.296460911,6.718,0,-0.001852894,-0.275810416,-0.275810416,0,0,0
