RGIId,AAR_mean,AAR_steady,disequilibrium
RGI60-13.00555,0.824346116,0.850062076,0.969748139
RGI60-13.00561,0.823152667,0.86562048,0.950939455
RGI60-13.00562,0.69344524,0.826692974,0.838818354
RGI60-13.00564,0.744810048,0.826459304,0.901205958
RGI60-13.00570,0.655015861,0.77605018,0.844038025
RGI60-13.00571,0.73603204,0.820649503,0.896889643
RGI60-13.00573,0.680771342,0.728186906,0.934885448
RGI60-13.00581,0.842628037,0.92345187,0.912476399
RGI60-13.00585,0.803693058,0.877750681,0.915627952
RGI60-13.00587,0.80269259,0.867987845,0.924773999
RGI60-13.00588,0.688979956,0.82140592,0.838781338
RGI60-13.00594,0.683216848,,
RGI60-13.00597,0.763584349,0.807527297,0.945583328
RGI60-13.00599,0.612866678,0.641147893,0.955889716
RGI60-13.00602,0.823822884,0.905292433,0.910007479
RGI60-13.00604,0.836918428,0.887604744,0.942895398
RGI60-13.00605,0.801255917,0.809339233,0.99001245
RGI60-13.00606,0.880908929,0.918277509,0.959305788
RGI60-13.00611,0.446215441,0.356066846,1.253178851
RGI60-13.00612,0.444560162,0.374592668,1.186782872
RGI60-13.00615,0.851022713,0.638595574,1.332647372
RGI60-13.00620,0.418009932,0.476513767,0.8772253
RGI60-13.00622,0.455054531,0.607431745,0.749145126
RGI60-13.00628,0.590389189,0.521423746,1.132263717
RGI60-13.00638,0.620996019,0.247456617,2.50951471
RGI60-13.00643,0.548676418,0.567255941,0.967246666
RGI60-13.00648,0.561768133,0.798263967,0.703737305
RGI60-13.00662,0.613628072,0.775888028,0.790871943
RGI60-13.00674,0.664659277,0.429067267,1.54907943
RGI60-13.00675,0.660630959,0.709000957,0.931777246
RGI60-13.00687,0.605062335,0.501902647,1.205537248
RGI60-13.00689,0.604487432,0.536370352,1.126996356
RGI60-13.00692,0.653832445,0.850267555,0.768972592
RGI60-13.00693,0.694034963,0.739794692,0.938145366
RGI60-13.00698,0.682182471,0.589364879,1.157487485
RGI60-13.00702,0.55627979,0.606135515,0.91774822
RGI60-13.00703,0.512565691,0.636661941,0.805082977
RGI60-13.00705,0.537354247,0.579046129,0.927999031
RGI60-13.00710,0.477947633,0.50495196,0.946520998
RGI60-13.00711,0.593953686,0.430429588,1.379909055
RGI60-13.00712,0.36145391,0.50698776,0.712944056
RGI60-13.00713,0.61275638,0.480521745,1.275189699
RGI60-13.00715,0.484279594,0.513048011,0.943926462
RGI60-13.00717,0.649669587,0.716737305,0.906426362
RGI60-13.00718,0.562506531,0.452743266,1.242440415
RGI60-13.00719,0.700888953,0.74963365,0.934975309
RGI60-13.00720,0.559229288,0.31676451,1.76544174
RGI60-13.00724,0.419135931,0.48621666,0.862035314
RGI60-13.00727,0.431583448,0.525983569,0.820526483
RGI60-13.00734,0.808304109,0.571207847,1.415078789
RGI60-13.00736,0.680653896,0.628698899,1.082638919
RGI60-13.00741,0.48508017,0.47832941,1.014113203
RGI60-13.00742,0.613353611,0.57712189,1.062780015
RGI60-13.00743,0.629680945,0.603053573,1.04415424
RGI60-13.00747,0.749180654,0.810518867,0.924322287
RGI60-13.00750,0.576893465,0.577654554,0.99868245
RGI60-13.00751,0.541432918,0.351260584,1.541399584
RGI60-13.00752,0.665745956,0.496203768,1.341678558
RGI60-13.00757,0.666478531,0.665858445,1.000931258
RGI60-13.00758,0.515982885,0.446970117,1.154401303
RGI60-13.00761,0.565477583,0.562351505,1.005558939
RGI60-13.00763,0.577198219,0.584653134,0.987248994
RGI60-13.00764,0.752771075,0.78017149,0.964878985
RGI60-13.00765,0.783034028,0.683198358,1.146129845
RGI60-13.00767,0.614312686,0.779248426,0.788339978
RGI60-13.00769,0.591228179,0.618688111,0.955615871
RGI60-13.00777,0.489375115,0.464644109,1.053225695
RGI60-13.00783,0.487411538,0.597175362,0.81619499
RGI60-13.00784,0.543383316,0.502998723,1.080287667
RGI60-13.00788,0.606465818,0.581048472,1.043743935
RGI60-13.00790,0.460607385,0.471984341,0.97589548
RGI60-13.00793,0.440197257,0.542511552,0.811406238
RGI60-13.00797,0.417115234,0.515976963,0.808398947
RGI60-13.00798,0.590905586,0.617889698,0.956328594
RGI60-13.00802,0.373622619,0.389220207,0.959926057
RGI60-13.00805,0.561589865,0.645248736,0.870346323
RGI60-13.00806,0.569227048,0.590383493,0.964164911
RGI60-13.00807,0.667088501,0.412179064,1.618443438
RGI60-13.00808,0.387834657,0.365608643,1.060791819
RGI60-13.00809,0.562111414,0.610841439,0.920224757
RGI60-13.00815,0.716458982,0.741527051,0.966193994
RGI60-13.00816,0.592554861,0.377236237,1.570779271
RGI60-13.00818,0.361693705,0.416726996,0.867939221
RGI60-13.00821,0.379812118,0.372051523,1.020858924
RGI60-13.00827,0.854760797,0.547273648,1.561852648
RGI60-13.00828,0.759860201,0.738800732,1.028504938
RGI60-13.00830,0.565551038,0.511402158,1.105883168
RGI60-13.00831,0.58981079,0.525180037,1.123063993
RGI60-13.00833,0.513502135,0.596160775,0.861348408
RGI60-13.00834,0.498539246,0.442516565,1.126600189
RGI60-13.00835,0.694428241,0.623438907,1.113867347
RGI60-13.00837,0.650158692,0.561833374,1.157209098
RGI60-13.00838,0.486724738,0.411760895,1.182056731
RGI60-13.00850,0.774222129,0.110084833,7.032959112
RGI60-13.00855,0.508662586,0.138810519,3.664438327
RGI60-13.00858,0.504898056,0.240196386,2.102021865
RGI60-13.00859,0.509944122,0.476890441,1.069310847
RGI60-13.00860,0.542189901,0.504852964,1.073956062
RGI60-13.00867,0.736218894,0.586182207,1.255955716
RGI60-13.00868,0.727585829,0.614388888,1.184243146
RGI60-13.00869,0.6068283,0.631413656,0.961062996
RGI60-13.00873,0.702973414,0.574599807,1.223413941
RGI60-13.00874,0.799676986,0.740051174,1.080569851
RGI60-13.00877,0.47510996,0.219683243,2.162704593
RGI60-13.00879,0.520045695,0.478135725,1.087652873
RGI60-13.00880,0.472381483,0.381636131,1.237779772
RGI60-13.00883,0.610813317,0.293082018,2.084103699
RGI60-13.00884,0.630306933,0.579308333,1.088033604
RGI60-13.00885,0.627843757,0.459411977,1.366624703
RGI60-13.00886,0.655340836,0.604149237,1.084733367
RGI60-13.00889,0.59044674,0.603976907,0.977598205
RGI60-13.00891,0.52464363,0.266446595,1.969038598
RGI60-13.00905,0.30902313,0.343659658,0.899212705
RGI60-13.00906,0.330087205,0.47271225,0.698283586
RGI60-13.00907,0.176365447,0.1191185,1.480588214
RGI60-13.00909,0.752910046,0.063854526,11.7910208
RGI60-13.00910,0.719705845,0.603089312,1.193365279
RGI60-13.00912,0.513000924,0.380770676,1.34727004
RGI60-13.00913,0.581191982,0.550886202,1.055012776
RGI60-13.00917,0.677587021,0.529150154,1.28051937
RGI60-13.00919,0.591079771,0.528628508,1.118138282
RGI60-13.00920,0.489748746,0.5345131,0.916252091
RGI60-13.00921,0.835683408,0.837972395,0.997268421
RGI60-13.00926,0.67740353,,
RGI60-13.00927,0.409669426,0.450133881,0.910105734
RGI60-13.00928,0.587290161,0.638941038,0.919161748
RGI60-13.00931,0.476522787,0.519795979,0.916749659
