,RGIId,lat,lon,AAR_mean,AAR_steady,disequilibrium
578,RGI60-11.00190,47.080002,12.38,0.21070000000000003,0.428177921912749,0.49208515716729306
612,RGI60-11.03039,45.64,7.01,0.33,,
635,,46.451199,10.7085,0.053000000000000005,0.13748244243756794,0.3855037709565554
636,,46.43,10.63,0.2219,0.4502811240002974,0.49280324706627815
645,RGI60-11.00647,46.9031,12.0961,0.146,0.38773903518073694,0.3765419180246966
661,RGI60-11.01776,46.465353,10.606457,0.17777777777777778,0.4108051713418456,0.4327544787157574
664,,,,,,
667,RGI60-11.02214,46.348,10.5127,,,
672,RGI60-11.00597,46.948,11.185,0.1432,0.3818413042668603,0.37502490799141186
675,RGI60-11.00603,46.9656,11.2247,0.034999999999999996,0.21481167617700261,0.1629334150866192
695,RGI60-16.01638,-0.155722,37.315268,0.0,,
707,,79.370003,95.650002,,,
712,RGI60-13.22620,39.366991,70.127848,,,
725,,,,,,
726,RGI60-12.01132,43.194401,42.7612,0.3687,0.5643798526790402,0.6532834194024245
727,,43.363499,41.417198,,,
729,,67.636803,65.780602,,,
730,RGI60-10.05087,67.579803,66.002403,,,
732,RGI60-13.18096,39.62,71.56,0.5842,0.6318103050539498,0.9246446209042376
753,RGI60-13.11609,42.459999,74.495003,0.5433999999999999,0.6865464915994726,0.7914977450893689
755,,,,,,
761,RGI60-12.00161,43.308197,42.469013,0.2516666666666667,0.6065350401048781,0.4149251898507795
780,RGI60-10.01708,50.0485,87.78078,,0.7309456656770471,
781,RGI60-13.06974,41.79,77.75,0.295,0.6003164779501051,0.4914074672868112
782,RGI60-13.06829,41.883202,77.683996,,,
787,,52.46,158.22,,,
788,,52.46,158.22,,,
789,,,,,,
790,RGI60-10.03917,53.233431,158.864877,,,
791,RGI60-10.04358,54.8307,161.802399,,,
794,RGI60-10.01737,50.0816,87.692101,0.45599999999999996,0.614976739260841,0.7414914595763087
795,RGI60-10.01732,50.049461,87.749077,,0.6506004454540278,
797,RGI60-13.05504,45.080002,80.230003,,,
804,RGI60-13.08056,41.830002,78.199997,,,
805,RGI60-13.08055,41.830002,78.174004,0.175,0.44287222895215017,0.3951478294632643
813,RGI60-13.06361,42.139999,78.269997,0.4171111111111111,0.5082702200901236,0.8206483374869992
817,RGI60-13.08624,43.05,77.08,0.36300000000000004,0.48242929691316455,0.7524418652073253
818,RGI60-13.22155,42.121,70.992,0.5371428571428571,0.5583890803564525,0.9619508619329865
829,RGI60-13.08054,41.814999,78.169998,0.169375,0.3882582267057724,0.4362431710387292
831,RGI60-10.01735,50.055599,87.712303,,,
832,,,,,,
837,,39.23,98.57,,,
853,,43.1176,86.8105,0.255,0.5599827091176538,0.4553712031605316
855,,,,,,
856,RGI60-13.32330,39.240002,97.755997,,,
857,RGI60-13.31358,37.543999,101.751999,,,
878,,-77.550003,163.080002,,0.7808536269262174,
890,,-77.573012,161.839727,,,
900,RGI60-18.03355,-43.124199,170.914993,,,
906,,27.715785,86.55632,,,
912,RGI60-15.03954,28.2365,85.6179,0.26,0.46079223426119376,0.5642456201912087
914,,19.026304,-98.62737,,,
917,RGI60-17.02143,-54.779999,-68.419998,,,
942,RGI60-11.03209,42.648998,0.6393,0.154,0.4069031873029181,0.37846840429233375
1045,RGI60-15.02942,27.9599,88.684402,,,
1047,RGI60-15.06777,30.5578,79.894096,,,
1048,RGI60-14.12323,31.292299,78.349403,,,
1049,RGI60-15.06557,30.712,79.680298,,,
1050,,,,,,
1051,,,,,,
1062,,-77.580002,161.619995,,,
1063,,-77.599998,161.550003,,,
1106,RGI60-11.01930,46.428897,10.114783,0.20400000000000001,0.3598783740485926,0.5668581796261393
1107,RGI60-11.03241,42.470543,13.566714,0.8879999999999999,0.7229179206299903,1.228355218011677
1138,RGI60-11.02648,46.075802,9.99,0.198,0.4337108608093327,0.45652534416712354
1238,RGI60-11.03166,45.476,7.2188,0.096,0.41820298185259586,0.22955359996413693
1264,RGI60-11.03135,45.518101,7.3898,0.03,0.23875817187336096,0.12565014954090123
1282,RGI60-11.03084,45.557899,7.2818,0.048,0.30687686896934224,0.15641452599933597
1305,RGI60-11.00289,47.04,12.97,0.14777777777777776,0.40009517405006845,0.36935656154474045
1314,RGI60-11.03651,45.794102,6.7894,0.39,0.41993629843219354,0.9287122867350146
1316,RGI60-08.00434,61.599998,7.05,,,
1317,RGI60-08.01013,61.549999,8.5,,,
1318,RGI60-08.00966,61.529999,8.45,,,
1319,,60.150002,6.48,,,
1320,RGI60-08.02963,60.083,6.399,,0.5400189653505038,
1321,,59.978645,6.32873,,,
