RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-05.03166,0.17500000000000002,0.07105,105.77062003360672,4.158913887253445e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.005074209388706534,-0.0051157985275790685,-0.7276938747607248,-0.7336581855125582,6.973,0.0,-0.005086686130368293,-0.7294831679862748,-0.7294831679862748,0.0,0.0,0.0
RGI60-05.04259,0.17500000000000002,0.07105,111.67358764616411,8.5170215606696e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00025222927242674937,-0.00026074629398741895,-0.08856364902624625,-0.09155417625962743,2.8480000000000003,0.0,-0.0002547843788949502,-0.08946080719626061,-0.08946080719626061,0.0,0.0,0.0
RGI60-05.04262,0.17500000000000002,0.07105,123.56946194014071,2.814148034182124e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00048551023174150243,-0.0005136517120833237,-0.1273970694677256,-0.13478134665004557,3.8110000000000004,0.0,-0.0004939526758440488,-0.1296123526224216,-0.1296123526224216,0.0,0.0,0.0
RGI60-05.04278,0.17500000000000002,0.07105,224.97794902155306,0.0005074993214603997,,0.0,0.0,0.0,0.0,1.0,0.0,-0.004619174784154353,-0.0051266741056147525,-0.6280319217069141,-0.6970325092610132,7.355,0.0,-0.004771424580592474,-0.6487320979731439,-0.6487320979731439,0.0,0.0,0.0
RGI60-05.04621,0.17500000000000002,0.07105,55.56601988724663,1.1171726628149768e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.004450183717126239,-0.004451300889789054,-0.48838715069427563,-0.4885097552446284,9.112,0.0,-0.004450518868925084,-0.4884239320593815,-0.4884239320593815,0.0,0.0,0.0
RGI60-05.04683,0.17500000000000002,0.07105,69.36283909433664,9.280296837078064e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.004045087502899741,-0.004054367799736819,-0.4853716706143198,-0.48648521715104615,8.334,0.0,-0.004047871591950864,-0.4857057345753377,-0.4857057345753377,0.0,0.0,0.0
RGI60-05.04785,0.17500000000000002,0.07105,57.82077314570789,3.144590891579705e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.002061316106035725,-0.0020644606969273047,-0.3652872773410819,-0.36584453250528176,5.643,0.0,-0.0020622594833031994,-0.36545445389034187,-0.36545445389034187,0.0,0.0,0.0
RGI60-05.04794,0.17500000000000002,0.07105,69.02381702320122,3.998468665723064e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0013204511984424253,-0.0013244496671081483,-0.2909123592074081,-0.2917932732117533,4.539,0.0,-0.001321650739042142,-0.2911766334087117,-0.2911766334087117,0.0,0.0,0.0
RGI60-05.04799,0.17500000000000002,0.07105,239.77694742228823,0.0012546641077390782,,0.0,0.0,0.0,0.0,1.0,1.0,0.0012150566818668056,-3.960742587227266e-05,0.07737243262014809,-0.002522123399915477,15.704,0.0,0.0008386574495450822,0.05340406581412903,0.05340406581412903,0.0,0.0,0.0
RGI60-05.04942,0.17500000000000002,0.07105,71.15569056994586,2.6893488930184698e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.005676368244842992,-0.005703261733773176,-0.4766052262672537,-0.4788632857911987,11.91,0.0,-0.005684436291522048,-0.4772826441244372,-0.4772826441244372,0.0,0.0,0.0
RGI60-05.05044,0.17500000000000002,0.07105,47.90006542509373,8.570564708014847e-07,,0.0,0.0,0.0,0.0,1.0,1.0,0.003952912928758499,0.003952055872287698,0.15521096783251526,0.15517731554451458,25.468000000000004,0.0,0.003952655811817259,0.15520087214611505,0.15520087214611505,0.0,0.0,0.0
RGI60-05.05327,0.17500000000000002,0.07105,39.006716561204264,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0005678890987958752,-0.0005678890987958752,-0.07030940928511517,-0.07030940928511517,8.077,0.0,-0.0005678890987958752,-0.07030940928511517,-0.07030940928511517,0.0,0.0,0.0
RGI60-05.05444,0.17500000000000002,0.07105,89.3193133157257,0.00017304135977959202,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00022093657796288315,-0.00039397793774247514,-0.4401127051053449,-0.7848166090487553,0.502,0.0,-0.00022093657796288315,-0.4401127051053449,-0.4401127051053449,0.0,0.0,0.0
RGI60-05.05455,0.17500000000000002,0.07105,49.94435447048316,5.284046511645312e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.004036967688763552,-0.004042251735275198,-0.6082518741545204,-0.609048023998071,6.6370000000000005,0.0,-0.004038552902717046,-0.6084907191075856,-0.6084907191075856,0.0,0.0,0.0
RGI60-05.05468,0.17500000000000002,0.07105,181.32120878247963,0.00031118382923788683,,0.0,0.0,0.0,0.0,1.0,1.0,-0.005710507008674263,-0.00602169083791215,-0.6856173620691874,-0.7229788495512246,8.329,0.0,-0.005803862157445629,-0.6968258083137986,-0.6968258083137986,0.0,0.0,0.0
RGI60-05.05470,0.17500000000000002,0.07105,76.2320210168063,3.769110399233205e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.011728113964365015,-0.011765805068357347,-0.8085566331861437,-0.8111551236371833,14.505,0.0,-0.011739421295562713,-0.8093361803214556,-0.8093361803214556,0.0,0.0,0.0
RGI60-05.05477,0.17500000000000002,0.07105,48.57800442902354,1.3387893275711843e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0013965171742380267,-0.001397855963565598,-0.2221630884883911,-0.22237606801870788,6.2860000000000005,0.0,-0.001396918811036298,-0.2222269823474861,-0.2222269823474861,0.0,0.0,0.0
RGI60-05.05515,0.17500000000000002,0.07105,242.19089535148112,8.805370298143652e-05,,0.0,0.0,0.0,0.0,1.0,0.0,-0.002282290901215807,-0.0023703446041972434,-1.0546630781958442,-1.0953533291114803,2.164,0.0,-0.0023087070121102374,-1.066870153470535,-1.066870153470535,0.0,0.0,0.0
