RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1
RGI60-09.00802,0.11875,0.03239296875,0.4860591602683115,0.10698274580608406,0.029714582582963105,0.018472075602436,0.029714582582963105,2.961468610667505e-05,0.002391533696206509,1.0,1.0,0.018309364763037454,-0.01140521781992565,0.3086814408173844,-0.19228297185918905,59.362,-0.01140521781992565,0.018309364763037454,-0.19228297185918905,0.3086814408173844,0.10698274580608406,0.11875
RGI60-09.00803,0.11875,0.03239296875,0.31329638467031984,0.23665569421114765,0.05631909249483798,0.03162245520282686,0.05631909249483798,7.783953079004253e-05,0.017458010491979672,1.0,1.0,0.03335422351081484,-0.022964868984023144,0.6131190928608169,-0.4221414308921443,54.44300000000001,-0.022964868984023144,0.03335422351081484,-0.4221414308921443,0.6131190928608169,0.23665569421114765,0.11875
RGI60-09.00804,0.11875,0.03239296875,0.05223482181177275,0.005958594339286801,0.01066249325064254,0.00810720134868811,0.00885860863694183,6.246009465235113e-06,0.0055962972738470606,1.0,1.0,0.007343017306947119,-0.001515591329994711,0.6218153363491503,-0.1284404370510565,11.809,-0.001515591329994711,0.00914690192064783,-0.1284404370510565,0.7751641600874396,0.005958594339286801,0.11875
RGI60-09.00805,0.11875,0.03239296875,45.91160966192275,0.0012930407360756087,0.004857469443978306,0.003284089237992387,0.004857469443978306,5.539003375214061e-07,0.00045772191862288107,1.0,1.0,0.00464467298877591,-0.00021279645520239608,0.4397179401476363,-0.020145749588492898,10.571,-0.00021279645520239608,0.00464467298877591,-0.020145749588492898,0.4397179401476363,0.0012930407360756087,0.11875
RGI60-09.00807,0.11875,0.03239296875,0.3425978656840982,0.7899276815129777,0.1914047987929548,0.0948241321667886,0.1914047987929548,0.00021153303334120214,0.0810349482711097,1.0,1.0,0.18303731447265487,-0.00836748432029992,0.4235334798158656,-0.019361679129152463,432.494,-0.00836748432029992,0.18303731447265487,-0.019361679129152463,0.4235334798158656,0.7899276815129777,0.11875
RGI60-09.00808,0.11875,0.03239296875,160.4081231287497,0.4277263719546509,0.07022097486656158,0.058674415543788126,0.07022097486656158,0.00011891645129429229,0.02838816424756138,1.0,1.0,-0.018436850848221054,-0.08865782571478263,-0.17558420306948966,-0.8443369099287282,105.082,-0.08865782571478263,-0.018436850848221054,-0.8443369099287282,-0.17558420306948966,0.4277263719546509,0.11875
RGI60-09.00809,0.11875,0.03239296875,0.1483799861838655,0.011123021920887115,0.008018009329871189,0.005022952465938271,0.008018009329871189,2.0402577510855837e-06,0.0007086295192349733,1.0,1.0,0.005886380568499499,-0.0021316287613716896,0.3570439716819932,-0.12929595534216784,16.5,-0.0021316287613716896,0.005886380568499499,-0.12929595534216784,0.3570439716819932,0.011123021920887115,0.11875
RGI60-09.00810,0.11875,0.03239296875,121.98039127181826,0.020112463258062523,0.009250134011124856,0.0054128893088771605,0.009250134011124856,5.000720539079087e-06,0.007481037253506055,1.0,1.0,0.0019317711630868829,-0.007318362848037973,0.14939128560478682,-0.5659571150465144,12.941,-0.007318362848037973,0.0019317711630868829,-0.5659571150465144,0.14939128560478682,0.020112463258062523,0.11875
RGI60-09.00812,0.11875,0.03239296875,0.16681200992737288,0.02890599038766557,0.02910953861502302,0.01672745021128077,0.02800470058891165,1.8973025123198568e-05,0.018498126286942043,1.0,1.0,0.01786475461331109,-0.01013994597560056,0.6218153363491503,-0.35322201668092795,28.73,-0.01013994597560056,0.01896959263942246,-0.35322201668092795,0.6608001446788417,0.02890599038766557,0.11875
RGI60-09.00813,0.11875,0.03239296875,0.10929200755694167,0.006506381792070463,0.014688808514487084,0.00915407226418075,0.012080372388182695,7.782143466821591e-06,0.00623743899125134,1.0,1.0,0.005781017182038051,-0.006299355206144645,0.6218153363491503,-0.678118205765893,9.297,-0.006299355206144645,0.00838945330834244,-0.678118205765893,0.9031148170943892,0.006506381792070463,0.11875
