RGIId,lon,lat,thickness_for_area_lost_total,thickness_for_area_lost_total_err,thickness_for_area_gained_total,thickness_for_area_gained_total_err,gate_length_km,net_area_change_per_year_total,net_area_change_per_year_total_error,Discharge_2000_to_2020_per_yr_mean_without_melt,Discharge_2000_to_2020_per_yr_mean_err_without_melt,terminus_gt_change_per_year_total_without_melt,terminus_gt_change_per_year_total_area_error_without_melt,terminus_gt_change_per_year_total_above_water_min,terminus_gt_change_per_year_total_above_water_max,Frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt,Frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt_err,Above_water_frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt_min,Above_water_frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt_max,Above_water_frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_err_without_melt,Frontal_ablation_2000_to_2020_gt_per_yr_mean,Frontal_ablation_2000_to_2020_gt_per_yr_mean_err,fa_mwea,fa_mwea_err,Romain_mwea_raw,Romain_mwea_raw_err,Romain_area_km2,Romain_gta_raw,Romain_gta_raw_err,Romain_gta_mbtot,Romain_gta_mbtot_err,Romain_gta_mbclim,Romain_gta_mbclim_err,Romain_mwea_mbtot,Romain_mwea_mbtot_err,Romain_mwea_mbclim,Romain_mwea_mbclim_err,thick_measured_yn,area_km2
RGI60-07.00849,15.976140733198259,79.54415858873408,87.54890558514855,44.90387651970565,71.2625788020798,35.6312894010399,1.0135638055203524,-0.04886410194456193,0.008131203489479972,0.0061356586042542755,0.004073925816414435,-0.0038501987828827725,0.0020761011211309533,-0.0003850198782882773,-0.0019250993914413862,0.009985857387137049,0.004572424676559389,0.006520678482542553,0.008060757995695661,0.004572424676559389,0.006543600906018318,0.004627471182842433,0.07768173411174499,0.05493458283874161,-0.07994637946020874,0.0916299692508201,,-0.006734365640141022,0.007718544863398497,-0.009429504788158962,0.007732403876141991,-0.002885903882140644,0.009011301751235103,-0.11194146682837755,0.09179449519891104,-0.034259732716632546,0.10697680935833462,,84.23603026942426
RGI60-07.00854,17.778836491842192,79.76433575347663,90.12649385247208,35.601230587208036,64.11567499740195,32.057837498700984,13.574768658640954,-0.15099625864841676,0.0659813885770997,0.08082829868447602,0.052137450021492976,-0.012267769809258271,0.007117278672313076,-0.0012267769809258268,-0.0061338849046291355,0.09309606849373432,0.05265107557374546,0.08205507566540185,0.08696218358910518,0.05265107557374546,0.07573125431456151,0.05315161176674548,0.2626530045244811,0.18434173119419958,-0.034489947011411434,0.09024856132919463,,-0.009944553854031759,0.026021544135458402,-0.01853199272051255,0.026558834641746576,0.057199261594048964,0.05941772068104325,-0.06427311434260136,0.09211200551820674,0.19837989018187976,0.20607400471738468,,288.3319551271412
RGI60-07.00859,15.875166503079758,79.63967050065473,90.20994366758232,36.06726957480539,68.7019157566165,34.350957878308265,1.3558440707621624,-0.0352199418637091,0.009968708037169736,0.016638900247096425,0.010189243088587369,-0.0028594700743506504,0.0014007446292933815,-0.00028594700743506503,-0.0014297350371753252,0.019498370321447075,0.010285074634382569,0.01692484725453149,0.01806863528427175,0.010285074634382569,0.015367290285510541,0.010296909065830823,0.13082905747208431,0.08766248850186611,-0.07072567096247602,0.09312716631976924,,-0.008307496341550745,0.010938794683346843,-0.0103091253935962,0.010987151245319099,0.005058164891914341,0.015058015433565808,-0.08776649191545563,0.09353884875095139,0.04306256555662866,0.1281960534337667,,117.46083463751577
RGI60-07.00874,17.845844811251236,79.37960586419702,91.44413434863979,30.740926819847388,114.2952618111122,24.17880452932516,1.5597199859041675,-0.0028449404532272745,0.00714624005989307,0.006029540070858385,0.004891871758552024,-0.000204865045827578,0.0004752503696580381,-2.04865045827578e-05,-0.000102432522913789,0.006234405116685963,0.004914903072897671,0.006050026575441143,0.006131972593772174,0.004914903072897671,0.0038198260946257705,0.004282477649857101,0.03516287693874239,0.03942175137415327,0.06393817729717767,0.07358864202083408,,0.006945754709094156,0.00799410740904268,0.006802349177014852,0.008005569899484128,0.010622175271640623,0.009079028815740806,0.06261807765077387,0.07369415837964717,0.09778095458951627,0.08357573487974891,,108.63235398173843
RGI60-07.00883,18.81947151931952,79.3877747016672,90.67165160129991,32.80539624190084,64.20225435217033,32.101127176085164,1.155256621037711,-0.016808998226306913,0.007960625674225064,0.003250146728656504,0.002288737603979579,-0.0013716896678483115,0.0008175003485157094,-0.00013716896678483116,-0.0006858448339241558,0.004621836396504816,0.002430355249689537,0.0033873156954413353,0.00393599156258066,0.002430355249689537,0.003709081205506044,0.002442553845679977,0.10344527190312755,0.06812216630073006,0.004504989599769079,0.08761170279162714,,0.00016152862231491217,0.003141360781680935,-0.0007986541451789059,0.003150842467273398,0.002910427060327138,0.003986712623530765,-0.022274248156645592,0.08787614443899691,0.08117102374648194,0.1111883370815832,,35.85549283469865
RGI60-07.00884,18.78939840069437,79.4372754871167,53.53775807536725,26.524570563211626,53.53775807536725,26.768879037683625,0.9110918385000368,-0.002499599673952784,0.003351282532258511,0.002012625963529252,0.0017736999703065032,-0.00012044066636641592,0.00017215047128695183,-1.2044066636641592e-05,-6.022033318320796e-05,0.002133066629895668,0.0017820346151042098,0.0020246700301658933,0.0020728462967124603,0.0017820346151042098,0.0015716738578950586,0.0015875028656030519,0.10574207816943003,0.10680705240819788,0.01997608514489015,0.09961531525849346,,0.00029691009812578284,0.001480610080188599,0.0002126016316692917,0.0014890963242984213,0.0017842754895643503,0.00217659670387901,0.014303818977450776,0.10018626901172793,0.1200458971468808,0.1464412337513511,,14.863277562757686
RGI60-07.00887,18.637206657388347,79.53230547530744,92.1829355371378,22.976400943521785,54.88205702926911,27.441028514634557,7.021315156607788,-0.04208565732261284,0.03142621237576266,0.025171088705660618,0.017344146670034692,-0.003491621492407643,0.0027486749385945627,-0.0003491621492407643,-0.0017458107462038216,0.028662710198068264,0.01756059901113095,0.025520250854901387,0.026916899451864443,0.01756059901113095,0.026648522038998392,0.017570020483496426,0.8107799096384213,0.5345669676955137,-0.1698404426037203,0.08943543143499698,,-0.005582275441256203,0.00293954257786891,-0.008026410485941552,0.0034246119145107576,0.01862211155305684,0.0179006588302077,-0.24420312537367134,0.10419364100306606,0.5665767842647499,0.5446266223539318,,32.867763152743485
RGI60-07.00892,20.247118658398325,78.70857205053902,81.73128533918882,57.7683854080223,75.89102858437842,36.71222339922168,8.822555855739083,-0.7653211546698282,0.05522525173928272,0.11813910470267568,0.042913091753436654,-0.056470401414924765,0.04167572204656717,-0.005647040141492477,-0.028235200707462382,0.17460950611760045,0.0598197229343433,0.12378614484416815,0.14637430541013807,0.0598197229343433,0.15614290515749366,0.05986096550559902,0.7019733678814589,0.2691175978711096,-0.34389348613583914,0.0763092004975023,,-0.07649368259089828,0.016973778210255065,-0.11602296358134562,0.0179984026692247,0.04011994157614804,0.06250822097857266,-0.5216057073783497,0.08091561589339336,0.1803676605031093,0.2810188932782339,,222.43422941917257
RGI60-07.00893,21.006406598977545,78.70107943773907,89.2561841762605,39.85073648233146,62.31977760117045,31.159888800585225,2.1251539617245254,-0.03812923954337567,0.006047239993977996,0.010779596306721336,0.007389862429047394,-0.0030629433844658644,0.0014512477389622019,-0.00030629433844658644,-0.0015314716922329322,0.0138425396911872,0.007531014986048636,0.011085890645167924,0.012311067998954268,0.007531014986048636,0.011806203289253312,0.007544529360326669,0.23220772574604695,0.14838792469213308,-0.1081285478734752,0.08849441858819866,,-0.005497610441101955,0.004499346834649132,-0.00764167081022806,0.004562161896640175,0.004164532479025252,0.008816645872438487,-0.15029853004125562,0.08972988288863247,0.08190919570479134,0.17340826992287842,,50.84328375088225
RGI60-07.00895,21.37021487345271,78.76714613950266,56.35703574166767,27.687099607489532,56.35703574166767,28.178517870833836,0.6640256880915767,-0.009082710339958637,0.005027031643203324,0.0033921877208417718,0.002913040146447496,-0.000460687168134237,0.0003409359768882058,-4.606871681342371e-05,-0.0002303435840671185,0.003852874888976009,0.002932923496300502,0.003438256437655196,0.0036225313049088907,0.002932923496300502,0.0035204550224575896,0.002938342373707673,0.13755549626498006,0.11481048354073885,0.09428972891859598,0.10041164080572096,,0.00241315511739493,0.0025698330839994447,0.002090674099700964,0.002586577011934761,0.0056111291221585535,0.0039146183139350125,0.08168935875566097,0.10106587990318845,0.21924485502064103,0.15295672332873758,,25.592979692181547
